A.Abbara;A.Alemi
C.Machens;L.Petreanu
C.Machens;M.Fridman
C.Machens;T.Marques
C.Meisel;D.Plenz
C.Mikell;C.Schevon
C.Mikell;E.Smith
C.Mikell;G.Banks
C.Mikell;G.Horga
C.Mikell;G.McKhann
C.Mikell;M.Botvinick
C.Mikell;M.Yates
C.Mikell;Q.Yu
C.Mikell;S.Pullman
C.Mikell;S.Sheth
C.Mikell;S.Shrinivasan
C.Mikell;Y.Pathak
C.Ortiz;A.Chiang
C.Ortiz;A.Lazar
C.Ortiz;A.Tomkins
C.Ortiz;C.Lo
C.Ortiz;C.Wang
C.Ortiz;C.Yeh
C.Ortiz;D.Coca
C.Ortiz;D.Florescu
C.Ortiz;N.Ukani
C.Ortiz;P.Richmond
C.Ortiz;Y.Huang
C.Ortiz;Y.Zhou
C.Ortiz;D.Coca
C.Ortiz;I.Esnaola
C.Pandarinath;D.Sussillo
C.Pandarinath;J.Collins
C.Pandarinath;J.Henderson
C.Pandarinath;J.Kao
C.Pandarinath;K.Shenoy
C.Pandarinath;L.Abbott
C.Pandarinath;M.Churchland
C.Pandarinath;M.Kaufman
C.Pandarinath;R.Jozefowicz
C.Pandarinath;S.Ryu
C.Pandarinath;S.Stavisky
C.Pedroza;A.Jacot-Guillarmod
C.Pedroza;H.Ogmen
C.Pedroza;K.Josic
C.Pedroza;Y.Wang
C.Pedroza;Z.Kilpatrick
C.Pehlevan;D.Chklovski
C.Pehlevan;S.Mohan
C.Pehlevan;A.Genkin
C.Pehlevan;D.Chklovski
C.Pennartz;J.Bos
C.Pennartz;L.Mourik-Donga
C.Pennartz;M.Vinck
C.Pennartz;U.Olcese
C.Ratliff;B.Borghuis
C.Rhoades;A.Litke
C.Rhoades;A.Sher
C.Rhoades;A.Tikidji-Hamburyan
C.Rhoades;E.Chichilnisky
C.Rhoades;E.Simoncelli
C.Rhoades;G.Goetz
C.Rhoades;L.Paninski
C.Rhoades;N.Brackbill
C.Rhoades;N.Shah
C.Rhoades;A.Litke
C.Rhoades;A.Sher
C.Rhoades;A.Tikidji-Hamburyan
C.Rhoades;E.Chichilnisky
C.Rhoades;G.Goetz
C.Rhoades;J.Shlens
C.Rhoades;N.Brackbill
C.Rhoades;N.Shah
C.Rhoades;V.Gupta
C.Rhoades;Y.Singer
C.Riegler;D.Guggiana-Nilo
C.Riegler;F.Engert
C.Runyan;C.Harvey
C.Runyan;E.Piasini
C.Runyan;S.Panzeri
C.Schevon;J.Liou
C.Schevon;L.Abbott
C.Schevon;C.Mikell
C.Schevon;E.Smith
C.Schevon;G.Banks
C.Schevon;G.Horga
C.Schevon;G.McKhann
C.Schevon;M.Botvinick
C.Schevon;M.Yates
C.Schevon;Q.Yu
C.Schevon;S.Pullman
C.Schevon;S.Sheth
C.Schevon;S.Shrinivasan
C.Schevon;Y.Pathak
C.Starkweather;N.Uchida
C.Starkweather;S.Gershman
C.Stock;A.Williams
C.Stock;S.Ganguli
C.Stock;S.Lahiri
C.Stringer;K.Harris
C.Stringer;M.Carandini
C.Stringer;M.Dipoppa
C.Stringer;M.Pachitariu
C.Stringer;N.Steinmetz
C.Stringer;S.Schroeder
C.Stringer;K.Harris
C.Stringer;M.Carandini
C.Stringer;M.Dipoppa
C.Stringer;M.Pachitariu
C.Summerfield;D.Bang
C.Summerfield;J.Ding
C.Summerfield;R.Moran
C.Summerfield;S.CASTAnoN
C.Summerfield;T.Egner
C.Tabone;A.Samuel
C.Tabone;G.Si
C.Tabone;J.Kanwal
C.Tabone;M.Berck
C.Tabone;Y.Hu
C.Tajima;H.Komatsu
C.Tajima;H.Suzuki
C.Tajima;K.Aihara
C.Tajima;K.Koida
C.Tajima;S.Tajima
C.Teeter;C.Koch
C.Teeter;D.Feng
C.Teeter;J.Berg
C.Teeter;N.Cain
C.Teeter;N.Gouwens
C.Teeter;R.Iyer
C.Teeter;S.Mihalis
C.Teeter;V.Menon
C.Varela;M.Wilson
C.Wang;A.Chiang
C.Wang;A.Lazar
C.Wang;A.Tomkins
C.Wang;C.Lo
C.Wang;C.Ortiz
C.Wang;C.Yeh
C.Wang;D.Coca
C.Wang;D.Florescu
C.Wang;N.Ukani
C.Wang;P.Richmond
C.Wang;Y.Huang
C.Wang;Y.Zhou
C.Warner;F.Sommer
C.Warriner;A.Miri
C.Warriner;G.Elsayed
C.Warriner;J.Cunningham
C.Warriner;J.Seely
C.Warriner;L.Abbott
C.Warriner;M.Churchland
C.Warriner;T.Jessell
C.Wilson;D.Rinberg
C.Yeh;A.Chiang
C.Yeh;A.Lazar
C.Yeh;A.Tomkins
C.Yeh;C.Lo
C.Yeh;C.Ortiz
C.Yeh;C.Wang
C.Yeh;D.Coca
C.Yeh;D.Florescu
C.Yeh;N.Ukani
C.Yeh;P.Richmond
C.Yeh;Y.Huang
C.Yeh;Y.Zhou
C.Zhao;A.Pruszynski
C.Zhao;M.Daley
C.Ziemba;E.Simoncelli
C.Ziemba;J.Movshon
C.Ziemba;R.Goris
D.Angulo-Garcia;A.Malvache
D.Angulo-Garcia;A.Torcini
D.Angulo-Garcia;C.Haimerl
D.Angulo-Garcia;R.Cossart
D.Ba;A.Smith
D.Ba;C.Barnes
D.Ba;D.Gray
D.Ba;N.Shinitski
D.Ba;S.Burke
D.Ba;Y.Zhang
D.Ba;K.Tye
D.Ba;N.Shinitski
D.Ba;S.Allsop
D.Ba;Y.Zhang
D.Bang;C.Summerfield
D.Bang;J.Ding
D.Bang;R.Moran
D.Bang;S.CASTAnoN
D.Bang;T.Egner
D.Barabasi;A.Churchland
D.Barabasi;M.Kaufman
D.Barabasi;S.Musall
D.Blei;A.Miller
D.Blei;L.Paninski
D.Blei;M.Johnson
D.Blei;R.Adams
D.Blei;S.Linderman
D.Buonomano;K.Bakhurin
D.Buonomano;S.Masmanidis
D.Buonomano;V.Goudar
D.Butts;K.Socha
D.Butts;M.Whiteway
D.Butts;V.Bonin
D.Butts;G.Perrin
D.Butts;J.Demb
D.Butts;J.Singer
D.Butts;M.Whiteway
D.Butts;Y.Cui
D.Chklovski;C.Pehlevan
D.Chklovski;S.Mohan
D.Chklovski;A.Genkin
D.Chklovski;C.Pehlevan
D.Chklovskii;A.Giovannucci
D.Chklovskii;B.Deverett
D.Chklovskii;E.Pnevmatikakis
D.Chklovskii;J.Friedrich
D.Chklovskii;V.Staneva
D.Chklovskii;A.Sengupta
D.Clark;M.Creamer
D.Clark;O.Mano
D.Clark;B.Badwan
D.Clark;E.Salazar
D.Clark;M.Agrochao
D.Coca;A.Chiang
D.Coca;A.Lazar
D.Coca;A.Tomkins
D.Coca;C.Lo
D.Coca;C.Ortiz
D.Coca;C.Wang
D.Coca;C.Yeh
D.Coca;D.Florescu
D.Coca;N.Ukani
D.Coca;P.Richmond
D.Coca;Y.Huang
D.Coca;Y.Zhou
D.Coca;C.Ortiz
D.Coca;I.Esnaola
D.Debanne;J.Aljadeff
D.Debanne;N.Brunel
D.Debanne;Y.Inglebert
D.Derdikman;K.Jeffery
D.Derdikman;O.Barak
D.Derdikman;R.Ismakov
D.Dvorak;A.Fenton
D.Dvorak;B.Radwan
D.Dvorak;F.Sparks
D.Dvorak;Z.Talbot
D.Ehrlich;D.Lee
D.Ehrlich;H.Seo
D.Ehrlich;J.Murray
D.Feldheim;A.Litke
D.Feldheim;S.Ito
D.Feng;J.Lecoq
D.Feng;M.Buice
D.Feng;S.DeVries
D.Feng;C.Koch
D.Feng;C.Teeter
D.Feng;J.Berg
D.Feng;N.Cain
D.Feng;N.Gouwens
D.Feng;R.Iyer
D.Feng;S.Mihalis
D.Feng;V.Menon
D.Festa;G.Hennequin
D.Festa;M.Lengyel
D.Fitzpatrick;B.Hein
D.Fitzpatrick;D.Whitney
D.Fitzpatrick;G.Smith
D.Fitzpatrick;M.Kaschube
D.Fitzpatrick;P.Huelsdunk
D.Fitzpatrick;B.Hein
D.Fitzpatrick;D.Whitney
D.Fitzpatrick;G.Smith
D.Fitzpatrick;M.Kaschube
D.Fitzpatrick;B.Scholl
D.Fitzpatrick;D.Wilson
D.Fitzpatrick;B.Scholl
D.Fitzpatrick;D.Wilson
D.Florescu;A.Chiang
D.Florescu;A.Lazar
D.Florescu;A.Tomkins
D.Florescu;C.Lo
D.Florescu;C.Ortiz
D.Florescu;C.Wang
D.Florescu;C.Yeh
D.Florescu;D.Coca
D.Florescu;N.Ukani
D.Florescu;P.Richmond
D.Florescu;Y.Huang
D.Florescu;Y.Zhou
D.Gray;A.Smith
D.Gray;C.Barnes
D.Gray;D.Ba
D.Gray;N.Shinitski
D.Gray;S.Burke
D.Gray;Y.Zhang
D.Guggiana-Nilo;C.Riegler
D.Guggiana-Nilo;F.Engert
D.Gupta;A.Piet
D.Gupta;C.Brody
D.Gupta;M.Pagan
D.Hocker;I.Park
D.Huber;G.Galinanes
D.Huber;M.Prsa
D.Huh;T.Sejnowski
D.Johnson;B.Aazhang
D.Johnson;G.Kalamangalam
D.Johnson;N.Tandon
D.Johnson;R.Malladi
D.Kastner;S.Baccus
D.Kastner;T.Sharpee
D.Kastner;Y.Zhang
D.Kastner;L.McIntosh
D.Kastner;M.Manu
D.Kastner;S.Baccus
D.Kepple;A.Koulakov
D.Kobak;C.Machens
D.Kobak;L.Petreanu
D.Kobak;M.Fridman
D.Kobak;T.Marques
D.Kumaran;D.Tirumala
D.Kumaran;H.Soyer
D.Kumaran;J.Leibo
D.Kumaran;J.Wang
D.Kumaran;M.Botvinick
D.Kumaran;Z.Kurth-Nelson
D.Lee;H.Sompolinsky
D.Lee;S.Chung
D.Lee;D.Ehrlich
D.Lee;H.Seo
D.Lee;J.Murray
D.Levenstein;B.Rudy
D.Levenstein;R.Tremblay
D.Levenstein;W.Munoz
D.Levy;A.Sugden
D.Levy;H.Gariepy
D.Levy;J.Zhao
D.Levy;K.Levandowski
D.Levy;M.Andermann
D.Lin;A.Falkner
D.Lin;A.Song
D.Liu;K.Arai
D.Liu;L.Frank
D.Liu;U.Eden
D.Lyzwa;C.Chen
D.Lyzwa;H.Read
D.Lyzwa;M.Escabi
D.Martinez;C.Huang
D.Martinez;M.Chacron
D.Martinez;M.Metzen
D.McNamee;D.Wolpert
D.McNamee;M.Lengyel
D.Mussack;G.Rakate
D.Mussack;H.Schewe
D.Mussack;P.Schrater
D.Mussack;W.Torgerud
D.Narain;M.Jazayeri
D.Narain;E.Hosseini
D.Narain;J.Wang
D.Narain;M.Jazayeri
D.O'Shea;K.Shenoy
D.O'Shea;L.Duncker
D.O'Shea;M.Sahani
D.O'Shea;W.Goo
D.Ollerenshaw;D.Williams
D.Ollerenshaw;J.Kiggins
D.Ollerenshaw;M.Garrett
D.Ollerenshaw;P.Groblewski
D.Ollerenshaw;S.Manavi
D.Ollerenshaw;S.Mihalis
D.Ollerenshaw;S.Olsen
D.Plenz;C.Meisel
D.Polley;R.Williamson
D.ROBBE;A.HERMOSO-MENDIZABAL
D.ROBBE;A.HYAFIL
D.ROBBE;J.ROCHA
D.ROBBE;P.RUEDA-OROZCO
D.ROBBE;S.Jaramillo
D.Rinberg;A.Oganov
D.Rinberg;E.Chong
D.Rinberg;J.Kappel
D.Rinberg;C.Wilson
D.Rizzuto;A.Sharan
D.Rizzuto;B.Jobst
D.Rizzuto;B.Lega
D.Rizzuto;E.Solomon
D.Rizzuto;G.Worrell
D.Rizzuto;J.Kragel
D.Rizzuto;J.Stein
D.Rizzuto;K.Davis
D.Rizzuto;K.Zaghloul
D.Rizzuto;M.Kahana
D.Rizzuto;M.Kucewicz
D.Rizzuto;M.Sperling
D.Rizzuto;R.Gross
D.Rizzuto;S.Sheth
D.Rolnick;H.Sompolinsky
D.Rolnick;I.Dasgupta
D.Rolnick;J.Bernstein
D.Rubin;G.Lindsay
D.Rubin;K.Miller
D.Ruff;B.Doiron
D.Ruff;C.Huang
D.Ruff;M.Cohen
D.Sarra;E.Lottem
D.Sarra;M.Lohuis
D.Sarra;P.Vertechi
D.Sarra;Z.Mainen
D.Schwab;A.Murugan
D.Schwab;H.Kim
D.Schwab;W.Zhong
D.Schwartz;O.Koyluoglu
D.Spicher;C.Clopath
D.Spicher;W.Senn
D.Sridharan;E.Knudsen
D.Sridharan;N.Steinmetz
D.Sridharan;T.Moore
D.Sussillo;C.Pandarinath
D.Sussillo;J.Collins
D.Sussillo;J.Henderson
D.Sussillo;J.Kao
D.Sussillo;K.Shenoy
D.Sussillo;L.Abbott
D.Sussillo;M.Churchland
D.Sussillo;M.Kaufman
D.Sussillo;R.Jozefowicz
D.Sussillo;S.Ryu
D.Sussillo;S.Stavisky
D.Tank;A.Karpova
D.Tank;B.Scott
D.Tank;C.Brody
D.Tank;C.Guo
D.Tank;D.Tervo
D.Tank;S.Thiberge
D.Tank;A.Kinkhabwala
D.Tank;C.Domnisoru
D.Tank;J.Gauthier
D.Tank;Y.Gu
D.Tank;B.Scott
D.Tank;C.Brody
D.Tank;C.Constantinople
D.Tank;K.Rajan
D.Tank;A.Charles
D.Tank;J.Gauthier
D.Tank;J.Pillow
D.Tank;A.Charles
D.Tank;A.Song
D.Tank;J.Gauthier
D.Tank;J.Pillow
D.Tank;S.Koay
D.Tervo;A.Karpova
D.Tervo;B.Scott
D.Tervo;C.Brody
D.Tervo;C.Guo
D.Tervo;D.Tank
D.Tervo;S.Thiberge
D.Tirumala;D.Kumaran
D.Tirumala;H.Soyer
D.Tirumala;J.Leibo
D.Tirumala;J.Wang
D.Tirumala;M.Botvinick
D.Tirumala;Z.Kurth-Nelson
D.Velez;M.Davis
D.Velez;S.Gandhi
D.Wadekar;J.Wolk
D.Wadekar;M.Gershow
D.Wadekar;R.Gepner
D.Whitney;B.Hein
D.Whitney;D.Fitzpatrick
D.Whitney;G.Smith
D.Whitney;M.Kaschube
D.Whitney;P.Huelsdunk
D.Whitney;B.Hein
D.Whitney;D.Fitzpatrick
D.Whitney;G.Smith
D.Whitney;M.Kaschube
D.Whitney;F.Wolf
D.Whitney;J.Crowley
D.Whitney;J.Weidinger
D.Williams;D.Ollerenshaw
D.Williams;J.Kiggins
D.Williams;M.Garrett
D.Williams;P.Groblewski
D.Williams;S.Manavi
D.Williams;S.Mihalis
D.Williams;S.Olsen
D.Wilson;B.Scholl
D.Wilson;D.Fitzpatrick
D.Wilson;B.Scholl
D.Wilson;D.Fitzpatrick
D.Wolpert;D.McNamee
D.Wolpert;M.Lengyel
D.Wood;J.Glaser
D.Wood;K.Kording
D.Wood;M.Segraves
D.Wood;P.Lawlor
D.Wood;P.Ramkumar
D.Zhang;A.Stepanyants
D.Zoccolan;L.Soltuzu
E.Agnes;T.Vogels
E.Archer;A.Speiser
E.Archer;J.Macke
E.Archer;S.Turaga
E.Chang;G.Schalk
E.Chang;I.Saez
E.Chang;J.Lin
E.Chang;J.Parvizi
E.Chang;M.Hsu
E.Chang;R.Knight
E.Chang;G.Anumanchipalli
E.Chang;J.Chartier
E.Chang;F.Luongo
E.Chang;H.Dawes
E.Chang;L.Kirkby
E.Chang;M.Lee
E.Chang;M.Nahum
E.Chang;T.Vleet
E.Chang;V.Sohal
E.Chichilnisky;A.Litke
E.Chichilnisky;G.Mena
E.Chichilnisky;J.Cunningham
E.Chichilnisky;L.Grosberg
E.Chichilnisky;L.Paninski
E.Chichilnisky;P.Hottowy
E.Chichilnisky;S.Madugula
E.Chichilnisky;A.Litke
E.Chichilnisky;A.Sher
E.Chichilnisky;A.Tikidji-Hamburyan
E.Chichilnisky;C.Rhoades
E.Chichilnisky;E.Simoncelli
E.Chichilnisky;G.Goetz
E.Chichilnisky;L.Paninski
E.Chichilnisky;N.Brackbill
E.Chichilnisky;N.Shah
E.Chichilnisky;A.Litke
E.Chichilnisky;A.Sher
E.Chichilnisky;A.Tikidji-Hamburyan
E.Chichilnisky;C.Rhoades
E.Chichilnisky;G.Goetz
E.Chichilnisky;J.Shlens
E.Chichilnisky;N.Brackbill
E.Chichilnisky;N.Shah
E.Chichilnisky;V.Gupta
E.Chichilnisky;Y.Singer
E.Chong;A.Oganov
E.Chong;D.Rinberg
E.Chong;J.Kappel
E.Drebitz;A.Kreiter
E.Drebitz;H.Stemmann
E.Drebitz;L.Rausch
E.Gugig;P.Kuruppath
E.Gugig;R.Azouz
E.Hart;A.Huk
E.Hart;L.Katz
E.Hisey;M.Kearney
E.Hisey;R.Mooney
E.Hosseini;D.Narain
E.Hosseini;J.Wang
E.Hosseini;M.Jazayeri
E.Hunsberger;C.Eliasmith
E.Issa;J.DiCarlo
E.Issa;J.Kubilius
E.Issa;K.Kar
E.Issa;K.Schmidt
E.Jonas;K.Kording
E.Karpas;A.Shklarsh
E.Karpas;E.Schneidman
E.Knudsen;D.Sridharan
E.Knudsen;N.Steinmetz
E.Knudsen;T.Moore
E.Koch;J.Alonso
E.Koch;J.Jin
E.Koch;Q.Zaidi
E.Lawrance;C.Gagne
E.Lawrance;J.Bijsterbosch
E.Lawrance;J.O'Reilly
E.Lawrance;S.Bishop
E.Lawrance;T.Behrens
E.Lottem;D.Sarra
E.Lottem;M.Lohuis
E.Lottem;P.Vertechi
E.Lottem;Z.Mainen
E.Marder;A.Otopalik
E.Miller;M.Lundqvist
E.Miller;M.Warden
E.Miller;P.Herman
E.Miller;S.Brincat
E.Miller;M.Moazami
E.Miller;S.Brincat
E.Miller;I.Ballard
E.Miller;N.Goodman
E.Miller;S.McClure
E.Miller;S.Piantadosi
E.Muller;H.Markram
E.Muller;M.Nolte
E.Muller;M.Reimann
E.Niebur;B.Hu
E.Niebur;R.Heydt
E.Norton;L.Acerbi
E.Norton;M.Landy
E.Norton;W.Ma
E.Oby;A.Batista
E.Oby;A.Degenhart
E.Oby;B.Yu
E.Oby;S.Chase
E.Oby;W.Bishop
E.Phillips;A.Hasenstaub
E.Phillips;A.Hasenstaub
E.Phillips;A.Hasenstaub
E.Phillips;B.Malone
E.Phillips;N.Hoglen
E.Phillips;P.Larimer
E.Piasini;C.Harvey
E.Piasini;C.Runyan
E.Piasini;S.Panzeri
E.Pnevmatikakis;A.Giovannucci
E.Pnevmatikakis;B.Deverett
E.Pnevmatikakis;D.Chklovskii
E.Pnevmatikakis;J.Friedrich
E.Pnevmatikakis;V.Staneva
E.Pnevmatikakis;A.Churchland
E.Pnevmatikakis;F.Najafi
E.Pnevmatikakis;G.Elsayed
E.Pnevmatikakis;J.Cunningham
E.Pollock;N.Desai
E.Pollock;V.Balasubramanian
E.Pollock;X.Wei
E.Remington;M.Jazayeri
E.Richman;I.Kauvar
E.Richman;K.Deisseroth
E.Richman;L.Luo
E.Richman;M.Chen
E.Richman;W.Allen
E.Salazar;B.Badwan
E.Salazar;D.Clark
E.Salazar;M.Agrochao
E.Schneidman;G.Tkacik
E.Schneidman;O.Maoz
E.Schneidman;R.Kiani
E.Schneidman;A.Shklarsh
E.Schneidman;E.Karpas
E.Schneidman;G.Tkacik
E.Schneidman;R.Harpaz
E.Seidemann;S.Chen
E.Seidemann;S.Sebastian
E.Seidemann;W.Geisler
E.Seidemann;Y.Bai
E.Seidemann;Y.Chen
E.Sernagor;A.Maccione
E.Sernagor;G.Hilgen
E.Sernagor;H.Amin
E.Sernagor;L.Berdondini
E.Sernagor;M.Hennig
E.Sernagor;M.Sindaci
E.Shea-Brown;A.Pasupathy
E.Shea-Brown;H.Choi
E.Shea-Brown;G.Ocker
E.Shea-Brown;K.Josic
E.Shea-Brown;M.Buice
E.Shea-Brown;B.Brinkman
E.Shea-Brown;F.Rieke
E.Shea-Brown;M.Buice
E.Simoncelli;A.Litke
E.Simoncelli;A.Sher
E.Simoncelli;A.Tikidji-Hamburyan
E.Simoncelli;C.Rhoades
E.Simoncelli;E.Chichilnisky
E.Simoncelli;G.Goetz
E.Simoncelli;L.Paninski
E.Simoncelli;N.Brackbill
E.Simoncelli;N.Shah
E.Simoncelli;C.Ziemba
E.Simoncelli;J.Movshon
E.Simoncelli;R.Goris
E.Simoncelli;A.Zaharia
E.Simoncelli;J.Movshon
E.Simoncelli;R.Goris
E.Simoncelli;A.Berardino
E.Simoncelli;J.Balle
E.Simoncelli;V.Laparra
E.Smith;C.Mikell
E.Smith;C.Schevon
E.Smith;G.Banks
E.Smith;G.Horga
E.Smith;G.McKhann
E.Smith;M.Botvinick
E.Smith;M.Yates
E.Smith;Q.Yu
E.Smith;S.Pullman
E.Smith;S.Sheth
E.Smith;S.Shrinivasan
E.Smith;Y.Pathak
E.Solomon;A.Sharan
E.Solomon;B.Jobst
E.Solomon;B.Lega
E.Solomon;D.Rizzuto
E.Solomon;G.Worrell
E.Solomon;J.Kragel
E.Solomon;J.Stein
E.Solomon;K.Davis
E.Solomon;K.Zaghloul
E.Solomon;M.Kahana
E.Solomon;M.Kucewicz
E.Solomon;M.Sperling
E.Solomon;R.Gross
E.Solomon;S.Sheth
E.Trautmann;J.Kao
E.Trautmann;K.Shenoy
E.Trautmann;S.Ryu
E.Trautmann;S.Stavisky
E.Tyler-Kabara;A.Batista
E.Tyler-Kabara;B.Yu
E.Tyler-Kabara;K.Quick
E.Tyler-Kabara;M.Golub
E.Tyler-Kabara;P.Sadtler
E.Tyler-Kabara;S.Chase
E.Tyler-Kabara;S.Ryu
E.Tyler-Kabara;A.Batista
E.Tyler-Kabara;B.Yu
E.Tyler-Kabara;J.Hennig
E.Tyler-Kabara;K.Quick
E.Tyler-Kabara;M.Golub
E.Tyler-Kabara;P.Lund
E.Tyler-Kabara;P.Sadtler
E.Tyler-Kabara;S.Chase
E.Tyler-Kabara;S.Ryu
E.Vaadia;H.Lalazar
E.Vaadia;L.Abbott
E.Walker;A.Ecker
E.Walker;A.Tolias
E.Walker;G.Denfield
E.Walker;M.Bethge
E.Walker;S.Cadena
E.Weiss;B.Cheung
E.Weiss;B.Olshausen
F.Baqai;J.Kauttonen
F.Baqai;P.Stan
F.Baqai;S.Kuhlman
F.Baqai;T.Lee
F.Chiang;J.Wallis
F.Crevecoeur;P.Lefuevre
F.Deniz;A.Huth
F.Deniz;A.Nunez-Elizalde
F.Deniz;J.Gallant
F.Deniz;L.Wehbe
F.Deniz;N.Bilenko
F.Deniz;A.Huth
F.Deniz;J.Gallant
F.Effenberger;C.Hillar
F.Effenberger;J.Lichtman
F.Effenberger;R.Schalek
F.Effenberger;X.Lu
F.Engert;C.Riegler
F.Engert;D.Guggiana-Nilo
F.Khatami;H.Read
F.Khatami;I.Stevenson
F.Khatami;M.Escabi
F.Khatami;M.Sadeghi
F.Liao;S.Song
F.Liao;X.Hu
F.Luongo;E.Chang
F.Luongo;H.Dawes
F.Luongo;L.Kirkby
F.Luongo;M.Lee
F.Luongo;M.Nahum
F.Luongo;T.Vleet
F.Luongo;V.Sohal
F.Memoli;B.Dai
F.Memoli;S.Chowdhury
F.Mastrogiuseppe;S.Ostojic
F.Najafi;A.Churchland
F.Najafi;E.Pnevmatikakis
F.Najafi;G.Elsayed
F.Najafi;J.Cunningham
F.Richter;A.Arenz
F.Richter;A.Borst
F.Richter;G.Ammer
F.Richter;M.Drews
F.Rieke;B.Brinkman
F.Rieke;E.Shea-Brown
F.Rieke;M.Buice
F.Rodrigues;A.Motiwala
F.Rodrigues;J.Paton
F.Rodrigues;T.Gouvea
F.Rodrigues;T.Monteiro
F.Rozenblit;A.Onken
F.Rozenblit;H.Schreyer
F.Rozenblit;J.Liu
F.Rozenblit;M.Khani
F.Rozenblit;S.Panzeri
F.Rozenblit;T.Gollisch
F.Santos;J.Carmena
F.Santos;R.Costa
F.Santos;V.Athalye
F.Sommer;C.Warner
F.Sparks;A.Fenton
F.Sparks;B.Radwan
F.Sparks;D.Dvorak
F.Sparks;Z.Talbot
F.Vercruysse;H.Sprekeler
F.Vercruysse;R.Naud
F.Wang;A.Williams
F.Wang;H.Kim
F.Wang;K.Shenoy
F.Wang;M.Schnitzer
F.Wang;S.Ganguli
F.Wang;S.Vyas
F.Wang;T.Kolda
F.Wolf;D.Whitney
F.Wolf;J.Crowley
F.Wolf;J.Weidinger
F.Wolf;R.Engelken
F.Wolf;A.Palmigiano
G.Agarwal;M.Ferreira
G.Agarwal;T.Quendera
G.Agarwal;Z.Mainen
G.Ammer;A.Arenz
G.Ammer;A.Borst
G.Ammer;F.Richter
G.Ammer;M.Drews
G.Anumanchipalli;E.Chang
G.Anumanchipalli;J.Chartier
G.Banks;C.Mikell
G.Banks;C.Schevon
G.Banks;E.Smith
G.Banks;G.Horga
G.Banks;G.McKhann
G.Banks;M.Botvinick
G.Banks;M.Yates
G.Banks;Q.Yu
G.Banks;S.Pullman
G.Banks;S.Sheth
G.Banks;S.Shrinivasan
G.Banks;Y.Pathak
G.Barello;Y.Ahmadian
G.Bassetto;J.Lueckmann
G.Bassetto;J.Macke
G.Bassetto;M.Nonnenmacher
G.Bassetto;P.Goncalves
G.Bassetto;J.Macke
G.Bouvier;B.Barbour
G.Bouvier;C.Bimbard
G.Bouvier;C.Clopath
G.Bouvier;J.Nadal
G.Bouvier;N.Brunel
G.Bouvier;V.Hakim
G.Boynton;A.Rokem
G.Boynton;I.Fine
G.Boynton;M.Beyeler
G.Camera;A.Fontanini
G.Camera;L.Mazzucato
G.Cauwenberghs;H.Mostafa
G.Deco;A.Ponce-Alvarez
G.Deco;K.Glomb
G.Deco;M.Gilson
G.Deco;P.Ritter
G.Denfield;A.Ecker
G.Denfield;A.Tolias
G.Denfield;E.Walker
G.Denfield;M.Bethge
G.Denfield;S.Cadena
G.Elsayed;A.Miri
G.Elsayed;C.Warriner
G.Elsayed;J.Cunningham
G.Elsayed;J.Seely
G.Elsayed;L.Abbott
G.Elsayed;M.Churchland
G.Elsayed;T.Jessell
G.Elsayed;A.Churchland
G.Elsayed;E.Pnevmatikakis
G.Elsayed;F.Najafi
G.Elsayed;J.Cunningham
G.Field;J.Pillow
G.Field;L.Duncker
G.Field;S.Ravi
G.Galbiati;B.Opheusden
G.Galbiati;W.Ma
G.Galbiati;Y.Li
G.Galinanes;D.Huber
G.Galinanes;M.Prsa
G.Goetz;A.Litke
G.Goetz;A.Sher
G.Goetz;A.Tikidji-Hamburyan
G.Goetz;C.Rhoades
G.Goetz;E.Chichilnisky
G.Goetz;E.Simoncelli
G.Goetz;L.Paninski
G.Goetz;N.Brackbill
G.Goetz;N.Shah
G.Goetz;A.Litke
G.Goetz;A.Sher
G.Goetz;A.Tikidji-Hamburyan
G.Goetz;C.Rhoades
G.Goetz;E.Chichilnisky
G.Goetz;J.Shlens
G.Goetz;N.Brackbill
G.Goetz;N.Shah
G.Goetz;V.Gupta
G.Goetz;Y.Singer
G.Goldey;B.Lowell
G.Goldey;C.Burgess
G.Goldey;H.Fenselau
G.Goldey;J.Madara
G.Goldey;J.Resch
G.Goldey;K.Levandowski
G.Goldey;M.Andermann
G.Goldey;N.Jikomes
G.Goldey;R.Ramesh
G.Goldey;Y.Livneh
G.Hennequin;A.Bernacchia
G.Hennequin;J.Fiser
G.Hennequin;M.Lengyel
G.Hennequin;J.Stroud
G.Hennequin;M.Porter
G.Hennequin;T.Vogels
G.Hennequin;D.Festa
G.Hennequin;M.Lengyel
G.Hennequin;M.Lengyel
G.Hennequin;R.Echeveste
G.Hennequin;V.Rutten
G.Hilgen;A.Maccione
G.Hilgen;E.Sernagor
G.Hilgen;H.Amin
G.Hilgen;L.Berdondini
G.Hilgen;M.Hennig
G.Hilgen;M.Sindaci
G.Horga;C.Mikell
G.Horga;C.Schevon
G.Horga;E.Smith
G.Horga;G.Banks
G.Horga;G.McKhann
G.Horga;M.Botvinick
G.Horga;M.Yates
G.Horga;Q.Yu
G.Horga;S.Pullman
G.Horga;S.Sheth
G.Horga;S.Shrinivasan
G.Horga;Y.Pathak
G.Kalamangalam;B.Aazhang
G.Kalamangalam;D.Johnson
G.Kalamangalam;N.Tandon
G.Kalamangalam;R.Malladi
G.Lindsay;D.Rubin
